names,codes
"Stage IV Renal Cell Cancer, Renal Cell Cancer Stage IV AJCC v6, Renal Cell Carcinoma, Stage IV AJCC v6, Stage IV, Stage IV Renal Cell Cancer AJCC v6, Stage IV Renal Cell Cancer AJCC v7, Stage IV Renal Cell Cancer AJCC v8, Stage IV Renal Cell Carcinoma, Stage IV Renal Cell Carcinoma AJCC v6, Stage IV Renal Cell Carcinoma AJCC v7, Stage IV Renal Cell Carcinoma AJCC v8, stage IV kidney cancer","C140326, C89303, C4003"
"Stage IV Renal Pelvis Cancer, Stage IV Carcinoma of Renal Pelvis, Stage IV Carcinoma of the Renal Pelvis, Stage IV Renal Pelvis Cancer AJCC v7, Stage IV Renal Pelvis Cancer AJCC v8, Stage IV Renal Pelvis Carcinoma, Stage IV Renal Pelvis Carcinoma AJCC v7, Stage IV Renal Pelvis Urothelial Carcinoma AJCC v8","C140374, C6147"
"Stage IV Renal Pelvis and Ureter Cancer, Stage IV Renal Pelvis and Ureter Cancer AJCC v7, Stage IV Renal Pelvis and Ureter Cancer AJCC v8, Stage IV Renal Pelvis and Ureter Carcinoma, Stage IV Renal Pelvis and Ureter Carcinoma AJCC v7, Stage IV Renal Pelvis and Ureter Urothelial Carcinoma AJCC v8, stage IV transitional cell cancer of the renal pelvis and ureter","C140373, C7522"
"Stage IV Retroperitoneal Sarcoma, Stage IV Retroperitoneal Sarcoma AJCC v8, Stage IV Soft Tissue Retroperitoneal Sarcoma AJCC v8",C136819
"Stage IV Skin Cancer, Carcinoma of Skin Stage IV, Carcinoma of the Skin Stage IV, Skin Cancer Stage IV, Skin Carcinoma Stage IV, Stage IV Skin Cancer AJCC v7, Stage IV Skin Carcinoma, stage IV nonmelanoma skin cancer",C5584
"Stage IV Small Cell Lung Cancer, Stage IV Lung Small Cell Carcinoma AJCC v7, Stage IV Small Cell Carcinoma of Lung, Stage IV Small Cell Carcinoma of the Lung, Stage IV Small Cell Lung Carcinoma, Stage IV Small Cell Lung Carcinoma AJCC v7",C6682
"Stage IV Small Intestinal Adenocarcinoma, Stage IV Small Intestinal Adenocarcinoma AJCC v8",C133902
"Stage IV Small Intestinal Cancer, Small Intestine Cancer Stage IV, Stage IV Small Intestinal Cancer AJCC v7, Stage IV Small Intestine Carcinoma",C5810
"Stage IV Small Intestinal Gastrointestinal Stromal Tumor (GIST), Stage IV Small Intestinal Gastrointestinal Stromal Tumor, Stage IV Small Intestinal Gastrointestinal Stromal Tumor AJCC v7",C87835
"Stage IV Small Intestinal, Esophageal, Colorectal, Mesenteric, and Peritoneal Gastrointestinal Stromal Tumor (GIST), Stage IV Small Intestinal, Esophageal, Colorectal, Mesenteric, and Peritoneal GIST AJCC v8, Stage IV Small Intestinal, Esophageal, Colorectal, Mesenteric, and Peritoneal Gastrointestinal Stromal Tumor AJCC v8",C136786
"Stage IV Small Lymphocytic Lymphoma, Ann Arbor Stage IV Small Lymphocytic Lymphoma, B-Cell Small Lymphocytic Lymphoma Stage IV, Small Lymphocytic Lymphoma Stage IV, Stage IV B-Cell Small Lymphocytic Lymphoma",C8141
"Stage IV Soft Tissue Sarcoma, Stage IV Adult Sarcoma of Soft Tissue, Stage IV Adult Sarcoma of the Soft Tissue, Stage IV Adult Soft Tissue Sarcoma AJCC v7, Stage IV Sarcoma of Soft Tissue, Stage IV Sarcoma of the Soft Tissue, Stage IV Soft Tissue Sarcoma AJCC v7","C8586, C7821"
"Stage IV Soft Tissue Sarcoma of the Trunk and Extremities, Stage IV Soft Tissue Sarcoma of the Trunk and Extremities AJCC v8",C136706
"Stage IV Squamous Cell Lung Cancer, Stage IV Epidermoid Cell Carcinoma of Lung, Stage IV Epidermoid Cell Carcinoma of the Lung, Stage IV Epidermoid Cell Lung Carcinoma, Stage IV Lung Squamous Cell Carcinoma AJCC v7, Stage IV Squamous Cell Carcinoma of Lung, Stage IV Squamous Cell Carcinoma of the Lung, Stage IV Squamous Cell Lung Carcinoma, Stage IV Squamous Cell Lung Carcinoma AJCC v7",C8767
"Stage IV Thymoma, Stage IV Thymoma AJCC v8",C136353
"Stage IV Thymus Epithelial Neoplasm, Stage IV Thymic Epithelial Neoplasm AJCC v8, Stage IV Thymus Epithelial Neoplasm AJCC v8",C136329
"Stage IV Thyroid Gland Follicular Cancer, Stage IV Thyroid Gland Follicular Carcinoma, Stage IV Thyroid Gland Follicular Carcinoma AJCC v7, Stage IV Thyroid Gland Follicular Carcinoma AJCC v8","C140996, C9086"
"Stage IV Thyroid Gland Medullary Cancer, Stage IV Medullary Carcinoma of Thyroid, Stage IV Medullary Carcinoma of Thyroid Gland, Stage IV Medullary Carcinoma of the Thyroid, Stage IV Medullary Carcinoma of the Thyroid Gland, Stage IV Medullary Thyroid Gland Carcinoma, Stage IV Thyroid Gland Medullary Carcinoma, Stage IV Thyroid Gland Medullary Carcinoma AJCC v7, Stage IV Thyroid Gland Medullary Carcinoma AJCC v8, Stage IV Thyroid Medullary Carcinoma","C141046, C6136"
"Stage IV Thyroid Gland Papillary Cancer, IV, Stage IV Papillary Carcinoma of Thyroid, Stage IV Papillary Carcinoma of Thyroid Gland, Stage IV Papillary Carcinoma of the Thyroid, Stage IV Papillary Carcinoma of the Thyroid Gland, Stage IV Papillary Thyroid Cancer, Stage IV Papillary Thyroid Gland Carcinoma, Stage IV Thyroid Gland Papillary Carcinoma, Stage IV Thyroid Gland Papillary Carcinoma AJCC v7, Stage IV Thyroid Gland Papillary Carcinoma AJCC v8, Stage IV Thyroid Papillary Carcinoma","C140984, C9083"
"Stage IV Undifferentiated Nasopharyngeal Throat Cancer, Nasopharyngeal Undifferentiated Carcinoma Stage IV, Stage IV Lymphoepithelioma of Nasopharynx, Stage IV Lymphoepithelioma of the Nasopharynx, Stage IV Nasopharyngeal Lymphoepithelioma, Stage IV Nasopharyngeal Undifferentiated Carcinoma, Stage IV Nasopharyngeal Undifferentiated Carcinoma AJCC v7",C8229
"Stage IV Ureter Cancer, Stage IV Carcinoma of Ureter, Stage IV Carcinoma of the Ureter, Stage IV Ureter Cancer AJCC v7, Stage IV Ureter Cancer AJCC v8, Stage IV Ureter Carcinoma, Stage IV Ureter Urothelial Carcinoma AJCC v8, Stage IV Ureteral Carcinoma, Ureter Cancer Stage IV","C140375, C6153"
"Stage IV Urethral Cancer, Stage IV Carcinoma of Urethra, Stage IV Carcinoma of the Urethra, Stage IV Urethra Cancer, Stage IV Urethra Carcinoma, Stage IV Urethral Cancer AJCC v7, Stage IV Urethral Cancer AJCC v8, Stage IV Urethral Carcinoma, Stage IV Urethral Carcinoma AJCC v8, Urethra Cancer Stage IV","C140463, C6200"
"Stage IV Uterine (including Endometrial) Cancer, Stage IV, Stage IV Uterine Corpus Cancer AJCC v6, Stage IV Uterine Corpus Cancer AJCC v7, Stage IV Uterine Corpus Cancer AJCC v8, Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v6, Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8, Stage IV Uterine Corpus Carcinoma or Carcinosarcoma by AJCC v7 Stage, stage IV cancer of the uterus, stage IV endometrial cancer","C139812, C89636, C4006"
"Stage IV Uterine Corpus Adenosarcoma, Stage IV Uterine Corpus Adenosarcoma AJCC v8",C139904
"Stage IV Uterine Corpus Endometrial Stromal Sarcoma, Stage IV Uterine Corpus Endometrial Stromal Sarcoma AJCC v8",C139891
"Stage IV Uterine Corpus Leiomyosarcoma, Stage IV Uterine Corpus Leiomyosarcoma AJCC v8",C139879
"Stage IV Uterine Sarcoma, Stage IV Uterine Sarcoma AJCC v7",C9179
"Stage IV Uveal Melanoma, IV, Stage IV Malignant Melanoma of Uvea, Stage IV Malignant Melanoma of the Uvea, Stage IV Melanoma of Uvea, Stage IV Melanoma of the Uvea, Stage IV Uveal Malignant Melanoma, Stage IV Uveal Melanoma AJCC v7",C5580
"Stage IV Vaginal Cancer, FIGO Stage IV Vaginal Carcinoma, Stage IV Vaginal Cancer AJCC v6, Stage IV Vaginal Cancer AJCC v6 and v7, Stage IV Vaginal Cancer AJCC v7, Stage IV Vaginal Cancer AJCC v8, Stage IV Vaginal Carcinoma, Stage IV Vaginal Carcinoma AJCC v6, Stage IV Vaginal Carcinoma AJCC v7, Stage IV Vaginal Carcinoma AJCC v8","C139667, C7597"
"Stage IV Vulvar Cancer, Stage IV Vulvar Cancer AJCC v7, Stage IV Vulvar Cancer AJCC v8, Stage IV Vulvar Carcinoma, Stage IV Vulvar Carcinoma AJCC v7, Stage IV Vulvar Carcinoma AJCC v8","C139627, C89453"
"Stage IV Wilms Tumor, Stage IV Kidney Nephroblastoma, Stage IV Kidney Wilms Tumor, Stage IV Renal Wilms Tumor, Stage IV Renal Wilms' Tumor",C7843
"Stage IVA Appendix Cancer, Stage IVA Appendiceal Carcinoma AJCC v8, Stage IVA Appendix Carcinoma, Stage IVA Appendix Carcinoma AJCC v7, Stage IVA Appendix Carcinoma AJCC v8","C87806, C134130"
"Stage IVA Bladder Cancer, IVA, Stage IVA Bladder Cancer AJCC v8, Stage IVA Bladder Carcinoma AJCC v8",C140425
"Stage IVA Bone Cancer, Stage IVA Appendicular Skeleton, Trunk, Skull, and Facial Bones Cancer AJCC v8, Stage IVA Bone Cancer AJCC v8",C136621
"Stage IVA Bone Sarcoma, Stage IVA Bone Sarcoma AJCC v7, Stage IVA Sarcoma of Bone, Stage IVA Sarcoma of the Bone",C6707
"Stage IVA Cervical Cancer, AJCC Stage IVA Cervical Cancer, Cervical Cancer Stage IVA, FIGO Stage IVA Carcinoma of Cervix, FIGO Stage IVA Carcinoma of Cervix Uteri, FIGO Stage IVA Carcinoma of Uterine Cervix, FIGO Stage IVA Carcinoma of the Cervix, FIGO Stage IVA Carcinoma of the Cervix Uteri, FIGO Stage IVA Carcinoma of the Uterine Cervix, FIGO Stage IVA Cervical Carcinoma, FIGO Stage IVA Cervix Carcinoma, FIGO Stage IVA Cervix Uteri Carcinoma, FIGO Stage IVA Uterine Cervix Carcinoma, IVA, Stage IVA Cervical Cancer AJCC v6, Stage IVA Cervical Cancer AJCC v6 and v7, Stage IVA Cervical Cancer AJCC v7, Stage IVA Cervical Cancer AJCC v8, Stage IVA Cervical Carcinoma AJCC v8","C139754, C6323"
"Stage IVA Cervical Cancer FIGO 2009, Stage IVA Cervical Carcinoma FIGO 2009",C186636
"Stage IVA Cervical Cancer FIGO 2018, Stage IVA Cervical Carcinoma FIGO 2018",C162246
"Stage IVA Colon Cancer, Stage IVA Colon Cancer AJCC v7, Stage IVA Colon Cancer AJCC v8","C115053, C134288"
"Stage IVA Colorectal (Colon or Rectal) Cancer, Stage IVA Colorectal Cancer, Stage IVA Colorectal Cancer AJCC v7, Stage IVA Colorectal Cancer AJCC v8, Stage IVA Colorectal Carcinoma AJCC v8","C134196, C87819"
"Stage IVA Differentiated Thyroid Gland Cancer, Stage IVA Differentiated Thyroid Gland Carcinoma, Stage IVA Differentiated Thyroid Gland Carcinoma AJCC v7, Stage IVA Differentiated Thyroid Gland Carcinoma AJCC v8, Stage IVA Thyroid Gland Papillary or Follicular Carcinoma","C87546, C140974"
"Stage IVA Endometrial Cancer FIGO 2023, Stage IVA Endometrial Carcinoma FIGO 2023",C206246
"Stage IVA Esophageal Adenocarcinoma, Clinical Stage IVA Esophageal Adenocarcinoma AJCC v8, IVA, Pathologic Stage IVA Esophageal Adenocarcinoma AJCC v8, Postneoadjuvant Therapy Stage IVA Esophageal Adenocarcinoma AJCC v8","C133409, C133425, C133439"
"Stage IVA Esophageal Squamous Cell Cancer, Clinical Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8, IVA, Pathologic Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8, Postneoadjuvant Therapy Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8","C133452, C133541, C133460"
"Stage IVA Extrahepatic Bile Duct Cancer, Extrahepatic Bile Duct Cancer Stage IVA, Stage IVA Carcinoma of Extrahepatic Bile Duct, Stage IVA Carcinoma of the Extrahepatic Bile Duct, Stage IVA Extrahepatic Bile Duct Carcinoma",C5773
"Stage IVA Fallopian Tube Cancer, Stage IVA Fallopian Tube Cancer AJCC v8, Stage IVA Fallopian Tube Carcinoma AJCC v8",C139998
"Stage IVA Gallbladder Cancer, Gallbladder Cancer Stage IVA AJCC v7, Gallbladder Carcinoma Stage IVA AJCC v7, Stage IVA Carcinoma of Gallbladder AJCC v7, Stage IVA Carcinoma of the Gallbladder AJCC v7, Stage IVA Gallbladder Cancer AJCC v7, Stage IVA Gallbladder Cancer AJCC v8, Stage IVA Gallbladder Carcinoma AJCC v7, Stage IVA Gallbladder Carcinoma AJCC v8","C134676, C5741"
"Stage IVA Gastric (Stomach) Cancer, Clinical Stage IVA Gastric Cancer AJCC v8, Clinical Stage IVA Gastric Carcinoma AJCC v8",C133652
"Stage IVA Hepatocellular Cancer, IVA, Stage IVA Hepatocellular Carcinoma, Stage IVA Hepatocellular Carcinoma AJCC v7, Stage IVA Hepatocellular Carcinoma AJCC v8, Stage IVA Liver Cell Carcinoma, Stage IVA Liver Cell Carcinoma AJCC v8","C134524, C5764"
"Stage IVA Hilar Cholangiocarcinoma, IVA, Stage IVA Hilar Cholangiocarcinoma AJCC v7, Stage IVA Hilar Cholangiocarcinoma AJCC v8, Stage IVA Perihilar Cholangiocarcinoma AJCC v8","C134752, C88063"
"Stage IVA Hodgkin Lymphoma, Ann Arbor Stage IVA Hodgkin Lymphoma",C4059
"Stage IVA Hypopharyngeal Throat Cancer, Stage IVA Carcinoma of Hypopharynx, Stage IVA Carcinoma of the Hypopharynx, Stage IVA Hypopharyngeal Carcinoma, Stage IVA Hypopharyngeal Carcinoma AJCC v7, Stage IVA Hypopharyngeal Carcinoma AJCC v8, Stage IVA Hypopharynx Carcinoma, stage IVA hypopharyngeal cancer","C133009, C5992"
"Stage IVA Hypopharyngeal Throat Squamous Cell Cancer, Stage IVA Epidermoid Carcinoma of Hypopharynx, Stage IVA Epidermoid Carcinoma of the Hypopharynx, Stage IVA Hypopharyngeal Epidermoid Carcinoma, Stage IVA Hypopharyngeal Squamous Cell Carcinoma, Stage IVA Hypopharyngeal Squamous Cell Carcinoma AJCC v7, Stage IVA Hypopharynx Epidermoid Carcinoma, Stage IVA Hypopharynx Squamous Cell Carcinoma, Stage IVA Squamous Cell Carcinoma of Hypopharynx, Stage IVA Squamous Cell Carcinoma of the Hypopharynx",C6132
"Stage IVA Intrahepatic Bile Duct Cancer (Cholangiocarcinoma), Stage IVA Intrahepatic Cholangiocarcinoma, Stage IVA Intrahepatic Cholangiocarcinoma AJCC v7",C88053
"Stage IVA Laryngeal Throat Cancer, Laryngeal Cancer Stage IVA, Stage IVA Carcinoma of Larynx, Stage IVA Carcinoma of the Larynx, Stage IVA Laryngeal Cancer, Stage IVA Laryngeal Cancer AJCC v7, Stage IVA Laryngeal Cancer AJCC v8, Stage IVA Laryngeal Carcinoma, Stage IVA Laryngeal Carcinoma AJCC v8, Stage IVA Larynx Carcinoma","C133162, C6005"
"Stage IVA Laryngeal Throat Squamous Cell Cancer, Stage IVA Epidermoid Carcinoma of Larynx, Stage IVA Epidermoid Carcinoma of the Larynx, Stage IVA Laryngeal Epidermoid Carcinoma, Stage IVA Laryngeal Squamous Cell Carcinoma, Stage IVA Laryngeal Squamous Cell Carcinoma AJCC v7, Stage IVA Larynx Epidermoid Carcinoma, Stage IVA Larynx Squamous Cell Carcinoma, Stage IVA Squamous Cell Carcinoma of Larynx, Stage IVA Squamous Cell Carcinoma of the Larynx",C6122
"Stage IVA Laryngeal Throat Verrucous Cancer, Stage IVA Laryngeal Verrucous Carcinoma, Stage IVA Laryngeal Verrucous Carcinoma AJCC v7, Stage IVA Larynx Verrucous Carcinoma, Stage IVA Verrucous Carcinoma of Larynx, Stage IVA Verrucous Carcinoma of the Larynx",C6127
"Stage IVA Lip and Oral Cavity Cancer, Stage IVA Lip and Oral Cavity Cancer AJCC v8, Stage IVA Lip and Oral Cavity Carcinoma AJCC v8",C132733
"Stage IVA Lip and Oral Cavity Squamous Cell Cancer, Stage IVA Lip and Oral Cavity Squamous Cell Carcinoma, Stage IVA Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7, Stage IVA Lip and Oral Cavity Squamous Cell Carcinoma AJCC v7",C115061
"Stage IVA Liver Cancer, Stage IVA Liver Carcinoma",C7122
"Stage IVA Lung Cancer, Stage IVA Lung Cancer AJCC v8",C136483
"Stage IVA Major Salivary Gland Cancer, Stage IVA Major Salivary Gland Cancer AJCC v7, Stage IVA Major Salivary Gland Cancer AJCC v8, Stage IVA Major Salivary Gland Carcinoma, Stage IVA Major Salivary Gland Carcinoma AJCC v7, Stage IVA Major Salivary Gland Carcinoma AJCC v8, Stage IVA Salivary Gland Cancer","C35694, C132788"
"Stage IVA Mucosal Melanoma of the Head and Neck, Stage IVA Head and Neck Mucosal Melanoma AJCC v7, Stage IVA Mucosal Melanoma of the Head and Neck AJCC v7",C87533
"Stage IVA Mycosis Fungoides and Sezary Syndrome, Stage IVA Mycosis Fungoides and Sezary Syndrome AJCC v7",C88161
"Stage IVA Nasal Cavity and Paranasal Sinus Cancer, Stage IVA Nasal Cavity and Paranasal Sinus Cancer AJCC v7, Stage IVA Nasal Cavity and Paranasal Sinus Cancer AJCC v8, Stage IVA Nasal Cavity and Paranasal Sinus Carcinoma AJCC v8, Stage IVA Sinonasal Cancer AJCC v7, Stage IVA Sinonasal Cancer AJCC v8, Stage IVA Sinonasal Carcinoma AJCC v7, Stage IVA Sinonasal Carcinoma AJCC v8","C133080, C87501"
"Stage IVA Nasal Cavity and Paranasal Sinus Squamous Cell Cancer, Stage IVA Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma, Stage IVA Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma AJCC v7, Stage IVA Sinonasal Squamous Cell Carcinoma AJCC v7",C115074
"Stage IVA Nasopharyngeal Throat Cancer, Stage IVA Carcinoma of Nasopharynx, Stage IVA Carcinoma of the Nasopharynx, Stage IVA Nasopharyngeal Carcinoma, Stage IVA Nasopharyngeal Carcinoma AJCC v7, Stage IVA Nasopharyngeal Carcinoma AJCC v8, Stage IVA Nasopharynx Carcinoma","C132821, C5997"
"Stage IVA Nasopharyngeal Throat Keratinizing Squamous Cell Cancer, Stage IVA Keratinizing Epidermoid Carcinoma of Nasopharynx, Stage IVA Keratinizing Epidermoid Carcinoma of the Nasopharynx, Stage IVA Keratinizing Squamous Cell Carcinoma of Nasopharynx, Stage IVA Keratinizing Squamous Cell Carcinoma of the Nasopharynx, Stage IVA Nasopharyngeal Keratinizing Epidermoid Carcinoma, Stage IVA Nasopharyngeal Keratinizing Squamous Cell Carcinoma, Stage IVA Nasopharyngeal Keratinizing Squamous Cell Carcinoma AJCC v7, Stage IVA Nasopharynx Keratinizing Epidermoid Carcinoma, Stage IVA Nasopharynx Keratinizing Squamous Cell Carcinoma",C6137
"Stage IVA Oral Cavity Adenoid Cystic Cancer, Stage IVA Adenoid Cystic Carcinoma of Mouth, Stage IVA Adenoid Cystic Carcinoma of Oral Cavity, Stage IVA Adenoid Cystic Carcinoma of the Mouth, Stage IVA Adenoid Cystic Carcinoma of the Oral Cavity, Stage IVA Mouth Adenoid Cystic Carcinoma, Stage IVA Oral Cavity Adenoid Cystic Carcinoma, Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v6, Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7, Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v7",C5863
"Stage IVA Oral Cavity Cancer, Stage IVA Carcinoma of Mouth, Stage IVA Carcinoma of Oral Cavity, Stage IVA Carcinoma of the Mouth, Stage IVA Carcinoma of the Oral Cavity, Stage IVA Mouth Carcinoma, Stage IVA Oral Cavity Cancer AJCC v6, Stage IVA Oral Cavity Cancer AJCC v6 and v7, Stage IVA Oral Cavity Cancer AJCC v7, Stage IVA Oral Cavity Carcinoma",C5887
"Stage IVA Oral Cavity Verrucous Cancer, Stage IVA Epidermoid Carcinoma of Mouth, Stage IVA Epidermoid Carcinoma of Oral Cavity, Stage IVA Epidermoid Carcinoma of the Mouth, Stage IVA Epidermoid Carcinoma of the Oral Cavity, Stage IVA Mouth Epidermoid Carcinoma, Stage IVA Mouth Squamous Cell Carcinoma, Stage IVA Oral Cavity Epidermoid Carcinoma, Stage IVA Oral Cavity Squamous Cell Cancer, Stage IVA Oral Cavity Squamous Cell Carcinoma, Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6, Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7, Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v7, Stage IVA Oral Cavity Verrucous Carcinoma, Stage IVA Squamous Cell Carcinoma of Mouth, Stage IVA Squamous Cell Carcinoma of Oral Cavity, Stage IVA Squamous Cell Carcinoma of the Mouth, Stage IVA Squamous Cell Carcinoma of the Oral Cavity","C6057, C5869"
"Stage IVA Oropharyngeal (p16-Negative) Throat Cancer, Stage IVA Oropharyngeal (p16-Negative) Carcinoma AJCC v8",C133000
"Stage IVA Oropharyngeal Throat Cancer, Stage IVA Carcinoma of Oropharynx, Stage IVA Carcinoma of the Oropharynx, Stage IVA Oropharyngeal Carcinoma, Stage IVA Oropharyngeal Carcinoma AJCC v7, Stage IVA Oropharynx Carcinoma",C5985
"Stage IVA Oropharyngeal Throat Squamous Cell Cancer, Stage IVA Epidermoid Carcinoma of Oropharynx, Stage IVA Epidermoid Carcinoma of the Oropharynx, Stage IVA Oropharyngeal Epidermoid Carcinoma, Stage IVA Oropharyngeal Squamous Cell Carcinoma, Stage IVA Oropharyngeal Squamous Cell Carcinoma AJCC v7, Stage IVA Oropharynx Epidermoid Carcinoma, Stage IVA Oropharynx Squamous Cell Carcinoma, Stage IVA Squamous Cell Carcinoma of Oropharynx, Stage IVA Squamous Cell Carcinoma of the Oropharynx",C6141
"Stage IVA Osteosarcoma, Stage IVA Osteogenic Sarcoma, Stage IVA Osteosarcoma AJCC v7",C6702
"Stage IVA Ovarian Cancer, Stage IVA Ovarian Cancer AJCC v8, Stage IVA Ovarian Carcinoma AJCC v8",C139978
Stage IVA Pancreatic Cancer,C5730
"Stage IVA Paranasal Sinus Cancer, Paranasal Sinus Cancer Stage IVA, Stage IVA Accessory Sinus Carcinoma, Stage IVA Carcinoma of Accessory Sinus, Stage IVA Carcinoma of Paranasal Sinus, Stage IVA Carcinoma of the Accessory Sinus, Stage IVA Carcinoma of the Paranasal Sinus, Stage IVA Paranasal Sinus Cancer AJCC v7, Stage IVA Paranasal Sinus Carcinoma",C6070
"Stage IVA Pharyngeal Cancer, Pharyngeal Cancer Stage IVA, Stage IVA Carcinoma of Pharynx, Stage IVA Carcinoma of the Pharynx, Stage IVA Pharyngeal Carcinoma, Stage IVA Pharynx Carcinoma",C6000
"Stage IVA Primary Peritoneal Cancer, Stage IVA Primary Peritoneal Cancer AJCC v8, Stage IVA Primary Peritoneal Carcinoma AJCC v8",C140013
"Stage IVA Prostate Cancer, IVA, Stage IVA Prostate Cancer AJCC v8, Stage IVA Prostate Carcinoma AJCC v8",C140174
"Stage IVA Rectal Cancer, Stage IVA Rectal Cancer AJCC v7, Stage IVA Rectal Cancer AJCC v8","C115055, C134302"
"Stage IVA Thymoma, Stage IVA Thymoma AJCC v8",C136354
"Stage IVA Thymus Epithelial Neoplasm, Stage IVA Thymic Epithelial Neoplasm AJCC v8, Stage IVA Thymus Epithelial Neoplasm AJCC v8",C136330
"Stage IVA Thyroid Gland Follicular Cancer, Stage IVA Thyroid Gland Follicular Carcinoma, Stage IVA Thyroid Gland Follicular Carcinoma AJCC v7, Stage IVA Thyroid Gland Follicular Carcinoma AJCC v8","C115035, C140997"
"Stage IVA Thyroid Gland Medullary Cancer, Stage IVA Thyroid Gland Medullary Carcinoma, Stage IVA Thyroid Gland Medullary Carcinoma AJCC v7, Stage IVA Thyroid Gland Medullary Carcinoma AJCC v8","C141047, C87549"
"Stage IVA Thyroid Gland Papillary Cancer, IVA, Stage IVA Thyroid Gland Papillary Carcinoma, Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7, Stage IVA Thyroid Gland Papillary Carcinoma AJCC v8","C140985, C115038"
"Stage IVA Undifferentiated Oropharyngeal Throat Cancer, Stage IVA Oropharyngeal Lymphoepithelioma, Stage IVA Oropharyngeal Lymphoepithelioma AJCC v7, Stage IVA Oropharyngeal Undifferentiated Carcinoma, Stage IVA Oropharyngeal Undifferentiated Carcinoma AJCC v7",C115090
"Stage IVA Uterine (including Endometrial) Cancer, Stage IVA Uterine Corpus Cancer AJCC v7, Stage IVA Uterine Corpus Cancer AJCC v8, Stage IVA Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8, Stage IVA Uterine Corpus Carcinoma or Carcinosarcoma by AJCC v7 Stage","C139813, C6309"
"Stage IVA Uterine Corpus Leiomyosarcoma, Stage IVA Uterine Corpus Leiomyosarcoma AJCC v8",C139880
"Stage IVA Uterine Sarcoma, Stage IVA Uterine Sarcoma AJCC v7",C87140
"Stage IVA Vaginal Cancer, AJCC Stage IVA Vaginal Cancer, FIGO Stage IVA Carcinoma of Vagina, FIGO Stage IVA Carcinoma of the Vagina, FIGO Stage IVA Vagina Carcinoma, FIGO Stage IVA Vaginal Carcinoma, Stage IVA Vaginal Cancer AJCC v6, Stage IVA Vaginal Cancer AJCC v6 and v7, Stage IVA Vaginal Cancer AJCC v7, Stage IVA Vaginal Cancer AJCC v8, Stage IVA Vaginal Carcinoma AJCC v6, Stage IVA Vaginal Carcinoma AJCC v7, Stage IVA Vaginal Carcinoma AJCC v8, Vaginal Cancer Stage IVA","C139669, C7859"
"Stage IVA Vulvar Cancer, Stage IVA Vulvar Cancer AJCC v7, Stage IVA Vulvar Cancer AJCC v8, Stage IVA Vulvar Carcinoma, Stage IVA Vulvar Carcinoma AJCC v7, Stage IVA Vulvar Carcinoma AJCC v8","C139628, C89454"
Stage IVA1 Mycosis Fungoides and Sezary Syndrome AJCC v8,C141357
Stage IVA2 Mycosis Fungoides and Sezary Syndrome AJCC v8,C141358
"Stage IVB Appendix Cancer, Stage IVB Appendiceal Carcinoma AJCC v8, Stage IVB Appendix Carcinoma, Stage IVB Appendix Carcinoma AJCC v7, Stage IVB Appendix Carcinoma AJCC v8","C87807, C134131"
"Stage IVB Bladder Cancer, IVB, Stage IVB Bladder Cancer AJCC v8, Stage IVB Bladder Carcinoma AJCC v8",C140426
"Stage IVB Bone Cancer, Stage IVB Appendicular Skeleton, Trunk, Skull, and Facial Bones Cancer AJCC v8, Stage IVB Bone Cancer AJCC v8",C136622
"Stage IVB Bone Sarcoma, Stage IVB Bone Sarcoma AJCC v7, Stage IVB Sarcoma of Bone, Stage IVB Sarcoma of the Bone",C6708
"Stage IVB Cervical Cancer, AJCC Stage IVB Cervical Cancer, Cervical Cancer Stage IVB, FIGO Stage IVB Carcinoma of Cervix, FIGO Stage IVB Carcinoma of Cervix Uteri, FIGO Stage IVB Carcinoma of Uterine Cervix, FIGO Stage IVB Carcinoma of the Cervix, FIGO Stage IVB Carcinoma of the Cervix Uteri, FIGO Stage IVB Carcinoma of the Uterine Cervix, FIGO Stage IVB Cervical Carcinoma, FIGO Stage IVB Cervix Carcinoma, FIGO Stage IVB Cervix Uteri Carcinoma, FIGO Stage IVB Uterine Cervix Carcinoma, IVB, Stage IVB Cervical Cancer AJCC v6, Stage IVB Cervical Cancer AJCC v6 and v7, Stage IVB Cervical Cancer AJCC v7, Stage IVB Cervical Cancer AJCC v8, Stage IVB Cervical Carcinoma AJCC v8","C139755, C6324"
"Stage IVB Cervical Cancer FIGO 2018, Stage IVB Cervical Carcinoma FIGO 2018",C162247
